"year","country","population","GDP","gini"
2016,Liechtenstein,37655.0,,
2017,Liechtenstein,37805.0,,
2018,Liechtenstein,37918.0,,
2006,Lithuania,3269909.0,10897964391.0828,34.4
2007,Lithuania,3231294.0,12108453621.6011,34.8
2008,Lithuania,3198231.0,12425019822.0591,35.7
2009,Lithuania,3162916.0,10581319790.3218,37.2
2010,Lithuania,3097282.0,10756042844.3535,33.6
2011,Lithuania,3028115.0,11405601149.4605,32.5
2012,Lithuania,2987773.0,11844017031.4634,35.1
2013,Lithuania,2957689.0,12264488263.5827,35.3
2014,Lithuania,2932367.0,12698284425.0764,37.7
2015,Lithuania,2904910.0,12955371854.0676,37.4
2016,Lithuania,2868231.0,13281695423.2095,38.4
2017,Lithuania,2828403.0,13850496906.4725,37.3
2018,Lithuania,2801543.0,14395769626.2351,35.7
2006,Luxembourg,472637.0,49648546045.1779,30.9
2007,Luxembourg,479993.0,53796460668.8657,31.1
2008,Luxembourg,488650.0,53108088559.7831,32.6
2009,Luxembourg,497783.0,50793315934.8984,31.2
2010,Luxembourg,506953.0,53264394998.6001,30.5
2011,Luxembourg,518347.0,54616903567.9042,32.1
2012,Luxembourg,530946.0,54424368010.6887,34.3
2013,Luxembourg,543360.0,56413236518.3812,32.0
2014,Luxembourg,556319.0,58837192739.3142,31.2
2015,Luxembourg,569604.0,61370976137.0688,32.9
2016,Luxembourg,582014.0,64178453456.4681,31.7
2017,Luxembourg,596336.0,65334423537.5936,34.5
2018,Luxembourg,607950.0,67366870478.9246,35.4
2006,Malta,405308.0,7960297513.94763,28.0
2007,Malta,406724.0,8340378285.12884,29.2
2008,Malta,409379.0,8659511134.94235,29.0
2009,Malta,412477.0,8561323235.70686,30.2
2010,Malta,414508.0,9035932122.49768,29.0
2011,Malta,416268.0,9078134520.83534,29.1
2012,Malta,420028.0,9451945528.64474,29.4
2013,Malta,425967.0,9969284127.5679,28.8
2014,Malta,434558.0,10730293230.9693,29.0
2015,Malta,445053.0,11761274055.5891,29.4
2016,Malta,455356.0,12242418065.7844,29.1
2017,Malta,467999.0,13236432054.2372,29.2
2018,Malta,484630.0,13921976625.3068,28.7
2006,Moldova,2880095.0,6239767852.66749,35.4
2007,Moldova,2873429.0,6426960903.2039,34.4
2008,Moldova,2867964.0,6928263862.95101,34.7
2009,Moldova,2864346.0,6512568011.12431,32.9
2010,Moldova,2861487.0,6974960345.3712,32.1
2011,Moldova,2859833.0,7380775144.91523,30.6
2012,Moldova,2859458.0,7337248195.12826,29.2
2013,Moldova,2858692.0,8000819052.00779,28.5
2014,Moldova,2856950.0,8400830055.05566,26.8
2015,Moldova,2834530.0,8372415480.26162,27.0
2016,Moldova,2802170.0,8741545794.83075,26.3
2017,Moldova,2755158.0,9151593647.17486,25.9
2018,Moldova,2708214.0,9545247410.92867,25.7
2006,Monaco,34189.0,5145300278.40382,
2007,Monaco,34524.0,5887710460.02917,
2008,Monaco,34860.0,5926971761.89845,
2009,Monaco,35223.0,5257223916.21371,
2010,Monaco,35609.0,5367625613.15127,
2011,Monaco,36025.0,5743359406.07185,
2012,Monaco,36459.0,5800793053.16187,
2013,Monaco,36899.0,6357669097.17619,
2014,Monaco,37320.0,6815421317.77807,
2015,Monaco,37723.0,7149376905.74042,
2016,Monaco,38070.0,7399605196.87127,
2017,Monaco,38392.0,7148018560.25454,
2018,Monaco,38682.0,7584047726.36882,
2006,Montenegro,615025.0,3737915560.04535,
2007,Montenegro,615875.0,3992473234.91718,
2008,Montenegro,616969.0,4280841227.25932,
2009,Montenegro,618294.0,4032762450.51021,
2010,Montenegro,619428.0,4143033275.88493,
2011,Montenegro,620079.0,4276787738.05463,
2012,Montenegro,620601.0,4160296612.28314,41.2
2013,Montenegro,621207.0,4307944887.65039,39.0
2014,Montenegro,621810.0,4384784936.38777,38.8
2015,Montenegro,622159.0,4533444861.21991,39.0
2016,Montenegro,622303.0,4667151600.8246,38.5
2017,Montenegro,622373.0,4887274946.92473,
2018,Montenegro,622227.0,5135444172.57865,
2006,Netherlands,16346101,818656877650.488,30.0
2007,Netherlands,16381696,849543512429.438,29.6
2008,Netherlands,16445593,867981366402.608,29.3
2009,Netherlands,16530388,836153497098.728,27.9
2010,Netherlands,16615394,847380859016.668,27.8
2011,Netherlands,16693074,860525340337.452,27.8
2012,Netherlands,16754962,851658883145.551,27.6
2013,Netherlands,16804432,850550233737.807,28.1
2014,Netherlands,16865008,862656926597.85,28.6
2015,Netherlands,16939923,879557839900.357,28.2
2016,Netherlands,17030314,898835229746.291,28.2
2017,Netherlands,17131296,924999447038.053,28.5
2018,Netherlands,17231624,946837898609.854,28.1
2006,North Macedonia,2063132.0,8138242511.94872,
2007,North Macedonia,2065408.0,8665070571.39311,
2008,North Macedonia,2067309.0,9139223353.51773,
2009,North Macedonia,2069030.0,9106448740.75946,42.8
2010,North Macedonia,2070737.0,9412311665.9492,40.2
2011,North Macedonia,2072484.0,9632549033.15179,39.4
2012,North Macedonia,2074275.0,9588606960.45675,38.1
2013,North Macedonia,2076065.0,9869098420.48675,36.2
2014,North Macedonia,2077780.0,10227260191.7624,35.2
2015,North Macedonia,2079335.0,10621609552.3164,35.6
2016,North Macedonia,2080746.0,10924134787.2329,34.5
2017,North Macedonia,2081996.0,11042309099.238,34.2
2018,North Macedonia,2082957.0,11360393491.8192,33.0
2006,Norway,4660677.0,418661275147.645,26.4
2007,Norway,4709153.0,431197048129.248,27.1
2008,Norway,4768212.0,433251184624.934,27.0
2009,Norway,4828726.0,425768848675.368,26.2
2010,Norway,4889252.0,428757038466.841,25.7
2011,Norway,4953088.0,432965007871.716,25.3
2012,Norway,5018573.0,444668526003.851,25.7
2013,Norway,5079623.0,449266722786.278,26.4
2014,Norway,5137232.0,458115229920.278,26.8
2015,Norway,5188607.0,467126944887.83,27.5
2016,Norway,5234519.0,472132485600.729,28.5
2017,Norway,5276968.0,483101343264.083,27.0
2018,Norway,5311916.0,488506420357,27.6
2006,Poland,38141267,403192683978.377,34.7
2007,Poland,38120560,431664312008.755,34.0
2008,Poland,38125759,449794050343.249,33.5
2009,Poland,38151603,462533048121.248,33.4
2010,Poland,38042794,479834179020.33,33.2
2011,Poland,38063255,502662952276.722,33.2
2012,Poland,38063164,509322687626.439,33.0
2013,Poland,38040196,515056478625.676,33.1
2014,Poland,38011735,532458063874.241,32.8
2015,Poland,37986412,555014724902.995,31.8
2016,Poland,37970087,572451795841.21,31.2
2017,Poland,37974826,600104964680.131,29.7
2018,Poland,37974750,632232812655.457,30.2
2006,Portugal,10522288,234931199934.205,38.1
2007,Portugal,10542964,240819937572.726,36.8
2008,Portugal,10558177,241588750226.565,36.6
2009,Portugal,10568247,234046157573.901,34.9
2010,Portugal,10573100,238113003233.284,35.8
2011,Portugal,10557560,234074214334.376,36.3
2012,Portugal,10514844,224577136198.924,36.0
2013,Portugal,10457295,222505087211.577,36.2
2014,Portugal,10401062,224267750933.647,35.6
2015,Portugal,10358076,228286732295.719,35.5
2016,Portugal,10325452,232896949514.553,35.2
2017,Portugal,10300300,241063120722.329,33.8
2018,Portugal,10283822,247931796009.536,33.5
2006,Romania,21193760,156266346693.626,39.6
2007,Romania,20882982,167570353781.434,37.5
2008,Romania,20537875,183166909447.59,36.4
2009,Romania,20367487,173060868628.322,35.6
2010,Romania,20246871,166309355234.589,35.5
2011,Romania,20147528,169479324149.248,35.9
2012,Romania,20058035,172937829621.072,36.5
2013,Romania,19983693,179459249986.084,36.9
2014,Romania,19908979,185935438388.184,36.0
2015,Romania,19815616,191427365158.106,35.9
2016,Romania,19702267,200430189829.58,34.4
2017,Romania,19588715,215100574411.243,36.0
2018,Romania,19473970,224725300753.379,35.8
2006,Russian Federation,143049637,1386608432989.65,41.0
2007,Russian Federation,142805114,1504469841529.42,42.3
2008,Russian Federation,142742366,1582701810889.97,41.6
2009,Russian Federation,142785349,1459251165972.78,39.8
2010,Russian Federation,142849468,1524917468442.01,39.5
2011,Russian Federation,142960908,1590489364644.29,39.7
2012,Russian Federation,143201721,1654492026998.83,40.7
2013,Russian Federation,143506995,1683535346495.76,40.9
2014,Russian Federation,143819667,1695930665412.95,39.9
2015,Russian Federation,144096870,1662474715110.35,37.7
2016,Russian Federation,144342397,1665694763578.53,36.8
2017,Russian Federation,144496739,1696106853061.04,37.2
2018,Russian Federation,144477859,1743720734850.68,37.5
2006,San Marino,29694.0,2082324147.78876,
2007,San Marino,30068.0,2230363289.08025,
2008,San Marino,30434.0,2219190523.69976,
2009,San Marino,30825.0,1990148833.39972,
2010,San Marino,31221.0,1881214370.93994,
2011,San Marino,31655.0,1724795655.61309,
2012,San Marino,32103.0,1603291832.10026,
2013,San Marino,32554.0,1590722471.04721,
2014,San Marino,32941.0,1579549705.66672,
2015,San Marino,33270.0,1615745175.01546,
2016,San Marino,33503.0,1653624799.59014,
2017,San Marino,33671.0,1657895541.39012,
2018,San Marino,33784.0,1683506067.26526,
2006,Serbia,7411569.0,37953228515.7138,
2007,Serbia,7381579.0,40397236364.6127,
2008,Serbia,7350222.0,42681933020.219,
2009,Serbia,7320807.0,41515968465.9198,
2010,Serbia,7291436.0,41819468691.8251,
2011,Serbia,7234099.0,42671028784.1099,
2012,Serbia,7199077.0,42380207643.5152,39.9
2013,Serbia,7164132.0,43606113097.5697,39.5
2014,Serbia,7130576.0,42912989429.7754,40.5
2015,Serbia,7095383.0,43688023451.3019,40.5
2016,Serbia,7058322.0,45146586020.325,38.8
2017,Serbia,7020858.0,46095189764.125,36.2
2018,Serbia,6982604.0,48167224454.1516,
2006,Slovakia,5373054.0,77183191548.8511,25.8
2007,Slovakia,5374622.0,85543697111.3733,24.7
2008,Slovakia,5379233.0,90312661014.7879,26.0
2009,Slovakia,5386406.0,85385623781.6126,27.2
2010,Slovakia,5391428.0,90398832433.9335,27.3
2011,Slovakia,5398384.0,92972684423.6731,26.5
2012,Slovakia,5407579.0,94736136629.9989,26.1
2013,Slovakia,5413393.0,95367586177.8506,28.1
2014,Slovakia,5418649.0,97886806555.4282,26.1
2015,Slovakia,5423801.0,102599958081.508,26.5
2016,Slovakia,5430798.0,104788135893.823,25.2
2017,Slovakia,5439232.0,107920798507.243,
2018,Slovakia,5446771.0,111860040781.458,25.0
2006,Slovenia,2006868.0,46464917542.2106,24.4
2007,Slovenia,2018122.0,49708243481.106,24.4
2008,Slovenia,2021316.0,51452924048.1751,23.7
2009,Slovenia,2039669.0,47569032084.5723,24.8
2010,Slovenia,2048583.0,48208240226.4501,24.9
2011,Slovenia,2052843.0,48623471168.9764,24.9
2012,Slovenia,2057159.0,47340084426.0571,25.6
2013,Slovenia,2059953.0,46852821092.7902,26.2
2014,Slovenia,2061980.0,48149781597.2791,25.7
2015,Slovenia,2063531.0,49213931063.9334,25.4
2016,Slovenia,2065042.0,50784767161.7182,24.8
2017,Slovenia,2066388.0,53219159738.4832,24.2
2018,Slovenia,2073894.0,55552554713.0659,24.6
2006,Spain,44397319,1411461390559.29,33.5
2007,Spain,45226803,1462340169523.89,34.1
2008,Spain,45954106,1475313249889.36,34.2
2009,Spain,46362946,1419793790647.73,34.9
2010,Spain,46576897,1422108199783.34,35.2
2011,Spain,46742697,1410526928100.77,35.7
2012,Spain,46773055,1368783211618.46,35.4
2013,Spain,46620045,1349135775978.08,36.2
2014,Spain,46480882,1367806573139.25,36.1
2015,Spain,46444832,1420264316878.6,36.2
2016,Spain,46484062,1463316808003.09,35.8
2017,Spain,46593236,1506830599353.93,34.7
2018,Spain,46797754,1543447293320.58,34.7
2006,Sweden,9080505.0,475064446275.73,26.4
2007,Sweden,9148092.0,491402966162.082,27.1
2008,Sweden,9219637.0,489188904610.127,28.1
2009,Sweden,9298515.0,467959130636.214,27.3
2010,Sweden,9378126.0,495812558843.31,27.7
2011,Sweden,9449213.0,511655422318.786,27.6
2012,Sweden,9519374.0,508645330091.796,27.6
2013,Sweden,9600379.0,514686895802.716,28.8
2014,Sweden,9696110.0,528366235242.641,28.4
2015,Sweden,9799186.0,552086083358.095,29.2
2016,Sweden,9923085.0,563517539985.087,29.6
2017,Sweden,10057698,577988245098.533,28.8
2018,Sweden,10175214,589259147923.413,30.0
2006,Switzerland,7483934.0,558432011619.952,33.9
2007,Switzerland,7551117.0,580745403737.188,34.3
2008,Switzerland,7647675.0,596747909749.776,33.8
2009,Switzerland,7743831.0,584337741980.175,32.9
2010,Switzerland,7824909.0,603434493402.679,32.6
2011,Switzerland,7912398.0,615023126905.369,31.7
2012,Switzerland,7996861.0,622509149394.166,31.6
2013,Switzerland,8089346.0,633849198063.623,32.5
2014,Switzerland,8188649.0,649358506468.394,32.5
2015,Switzerland,8282396.0,660123368612.609,32.3
2016,Switzerland,8373338.0,673624122427.937,33.0
2017,Switzerland,8451840.0,684299849661.364,32.7
2018,Switzerland,8514329.0,704920576240.946,33.1
2006,Ukraine,46787786,139607929641.793,29.8
2007,Ukraine,46509355,150209086270.689,27.0
2008,Ukraine,46258189,153669941036.719,26.6
2009,Ukraine,46053331,130990467246.875,25.3
2010,Ukraine,45870741,136013155905.036,24.8
2011,Ukraine,45706086,143446957451.616,24.6
2012,Ukraine,45593342,143789339118.051,24.7
2013,Ukraine,45489648,143750950398.359,24.6
2014,Ukraine,45272155,134331480637.625,24.0
2015,Ukraine,45154036,121203317705.377,25.5
2016,Ukraine,45004673,123912293812.632,25.0
2017,Ukraine,44831135,126968015121.443,26.0
2018,Ukraine,44622518,131291651249.309,26.1
2006,United Kingdom,60846820,2483917165662.06,34.6
2007,United Kingdom,61322463,2542551914678.86,35.7
2008,United Kingdom,61806995,2535463784367.3,34.1
2009,United Kingdom,62276270,2431156088971.62,34.3
2010,United Kingdom,62766365,2481579504997.81,34.4
2011,United Kingdom,63258810,2513237223477.67,33.2
2012,United Kingdom,63700215,2549186468912.68,32.3
2013,United Kingdom,64128273,2604914574687.66,33.2
2014,United Kingdom,64602298,2679486211063.81,34.0
2015,United Kingdom,65116219,2742804332759.55,33.2
2016,United Kingdom,65611593,2790046007973.58,34.8
2017,United Kingdom,66058859,2838601442114.14,35.1
2018,United Kingdom,66460344,2874157497314.14,
